% Sensorgestyetzte intelligente Umgebungen
%
% Introduction to Machine Learning
%
% Oscar Martinez Mozos  ommozos@ommozos.unizar.es
%

@relation people_2D

@attribute n_points integer
@attribute std real
@attribute mean_deviation real
@attribute width real
@attribute linearity real
@attribute circularity real
@attribute radius real
@attribute boundary_length real
@attribute boundary_regularity real
@attribute mean_curvaure real
@attribute angular_difference real
@attribute person {-1, 1} 

@data
13,0.31141,0.089491,0.33051,0.03776,0.00077178,0.54965,0.33357,0.00082643,49.535,-0.0056246,-1
58,0.4526,0.20166,0.75798,1.7036,0.43863,0.25352,0.98794,0.01604,1028.8,-0.0060283,-1
95,0.56707,0.31311,1.3622,2.0949,0.071131,1.8693,1.5303,0.0081018,2420.1,0.021378,-1
36,0.43502,0.18478,0.68771,3.7305,0.41546,0.2118,0.85138,0.017936,446.92,-0.023803,-1
35,0.32455,0.10044,0.3704,2.2596,0.0011967,0.18637,0.48009,0.0057995,712.27,0.021738,-1
49,0.46892,0.21535,0.85141,0.22208,0.0096239,1.921,0.86429,0.0015768,404.05,0.0089979,-1
19,0.21582,0.044216,0.12693,0.45585,0.0021899,0.050856,0.21621,0.0036309,458.64,0.083881,1
14,0.31377,0.091431,0.32047,0.081885,0.015834,0.13034,0.33575,0.0042327,118.81,-0.062418,-1
23,0.20808,0.042133,0.1389,0.32287,0.0029453,0.054427,0.20111,0.0043295,864,0.04901,1
13,0.30065,0.078574,0.29224,0.24903,0.0010907,0.17548,0.33694,0.020848,181.47,-0.09963,-1
34,0.49777,0.23899,0.8904,0.17232,0.017223,1.4175,0.95055,0.011879,372.08,0.067123,-1
13,0.31163,0.08935,0.3284,0.06751,0.0044016,0.23614,0.33686,0.0011206,67.906,-0.026905,-1
58,0.45264,0.20195,0.75668,1.7022,0.41758,0.25822,1.0006,0.016111,1207.5,-0.0060283,-1
95,0.56705,0.31313,1.3732,2.1355,0.068419,1.8878,1.5133,0.0078752,2116.4,0.020626,-1
36,0.43478,0.185,0.68955,3.5192,0.35131,0.21795,0.84386,0.016242,576.57,-0.024719,-1
33,0.31331,0.093834,0.34636,1.826,0.00072075,0.17945,0.4423,0.0057617,635.52,0.040573,-1
52,0.4822,0.22803,0.89873,1.5254,0.010005,1.9717,0.9493,0.0032932,634.46,0.02596,-1
19,0.21608,0.045187,0.12651,0.46027,0.0024157,0.050137,0.21574,0.0047428,554.01,0.032042,1
15,0.3149,0.091934,0.32989,0.12101,0.0047083,0.22897,0.35037,0.0050195,160.82,-0.056323,-1
23,0.2061,0.041355,0.13918,0.279,0.0023324,0.057382,0.19527,0.0034779,972.59,0.074595,1
16,0.31232,0.088239,0.34439,0.32216,0.0012572,0.22439,0.39551,0.01787,260.18,-0.091077,-1
34,0.4961,0.23718,0.90043,0.15518,0.009505,1.8892,0.95588,0.010126,300.66,0.065479,-1
13,0.31332,0.090547,0.33002,0.067218,0.0083863,0.17663,0.3375,0.0022166,64.359,-0.017665,-1
58,0.45269,0.20192,0.75472,1.7357,0.42268,0.25673,0.99498,0.016451,1033.3,-0.0098589,-1
95,0.56698,0.31287,1.3645,2.1277,0.06566,1.8981,1.5339,0.0085614,2146.3,0.021501,-1
36,0.43465,0.18494,0.69244,3.5089,0.33833,0.2194,0.83599,0.015826,512.26,0.00287,-1
34,0.31761,0.095973,0.3593,1.6245,0.00088501,0.18778,0.46817,0.0057185,890.78,0.060878,-1
49,0.46859,0.21502,0.84645,0.19338,0.0038663,2.8972,0.86191,0.00094567,525.41,0.010637,-1
19,0.21681,0.045002,0.12676,0.44275,0.0022615,0.050503,0.21765,0.0040601,591.98,0.076264,1
15,0.31832,0.093903,0.33451,0.1236,0.0046006,0.23664,0.35731,0.0050346,200.81,-0.058398,-1
23,0.20748,0.042156,0.13909,0.29452,0.003333,0.053551,0.20091,0.0040406,887.42,0.055378,1
13,0.29773,0.077343,0.29288,0.23971,0.00090271,0.17854,0.32893,0.018065,165.32,-0.040616,-1
34,0.49517,0.23696,0.90402,0.17295,0.015206,1.5398,0.95843,0.011659,374.54,0.067338,-1
13,0.31201,0.089627,0.33059,0.038471,0.000841,0.53735,0.33473,0.0011396,74.797,-0.0056246,-1
58,0.45245,0.20141,0.75587,1.709,0.40789,0.25964,0.99433,0.016678,1101.9,-0.011067,-1
95,0.567,0.31315,1.3609,2.0811,0.066297,1.9235,1.5255,0.0081925,2509.1,0.018222,-1
36,0.43494,0.1846,0.68474,3.6794,0.36368,0.21655,0.8532,0.015956,592.16,-0.015225,-1
35,0.32364,0.099806,0.37149,2.244,0.00077173,0.1898,0.50498,0.0081128,969.73,0.04381,-1
49,0.46858,0.21503,0.84708,0.20174,0.0044335,2.7155,0.859,0.00090282,431.68,-0.00095639,-1
18,0.20942,0.041594,0.11943,0.41327,0.0015274,0.04843,0.19676,0.0043205,575.28,0.070956,1
14,0.31043,0.089481,0.31632,0.073703,0.017586,0.12549,0.33235,0.0045214,127.76,-0.055552,-1
23,0.20541,0.040661,0.1388,0.26403,0.0025792,0.056121,0.19161,0.0053658,1201.6,0.057969,1
13,0.30186,0.081078,0.29831,0.21844,0.0017094,0.18555,0.34453,0.019914,214.92,-0.092665,-1
34,0.49594,0.23756,0.89379,0.17697,0.014426,1.5417,0.96055,0.0135,460.82,0.066399,-1
13,0.31168,0.089486,0.32986,0.047315,0.035799,0.10378,0.33342,0.00096411,51.431,0.0004805,-1
58,0.45209,0.20131,0.75587,1.6718,0.37606,0.26792,0.97479,0.015624,1083.2,-0.0060283,-1
95,0.56723,0.31319,1.3714,2.1336,0.072141,1.8541,1.5585,0.0086046,2481.8,0.021462,-1
36,0.43453,0.18512,0.68569,3.5387,0.34153,0.2188,0.83079,0.014198,498.58,-0.026511,-1
34,0.31907,0.097258,0.35898,1.5604,0.00080073,0.18534,0.4523,0.0043408,878.17,0.049296,-1
51,0.47754,0.22352,0.87987,0.32894,0.0087308,2.1254,0.90376,0.001326,631.55,-0.0060132,-1
18,0.20918,0.0417,0.11974,0.40983,0.0016002,0.048609,0.20087,0.0051308,649.54,0.048743,1
14,0.31417,0.091661,0.31763,0.08522,0.029306,0.10687,0.33398,0.0045996,131.3,-0.050359,-1
23,0.20651,0.041682,0.13876,0.27689,0.0029538,0.054828,0.19286,0.0038382,1036.8,0.0081248,1
13,0.30028,0.078773,0.31877,0.21353,0.0023461,0.19065,0.35572,0.019428,196.96,-0.010415,-1
34,0.49632,0.23834,0.88938,0.16418,0.025592,1.1771,0.94752,0.010824,412.69,0.065873,-1
13,0.31206,0.089657,0.33009,0.051793,0.0011449,0.44238,0.33442,0.00068819,59.526,0.015319,-1
58,0.45221,0.20126,0.75362,1.6789,0.3714,0.26858,0.98212,0.015954,1113.6,-0.012248,-1
95,0.56676,0.31295,1.3601,2.1142,0.06565,1.8972,1.5388,0.0082315,2488.9,0.020922,-1
36,0.43469,0.18448,0.69017,3.6603,0.39724,0.21361,0.80807,0.013488,430.92,-0.021567,-1
33,0.31136,0.092549,0.34902,1.3287,0.00038882,0.18975,0.44546,0.0052624,581.11,0.065653,-1
49,0.46864,0.21507,0.84768,0.1337,0.0057235,2.4817,0.85852,0.0011871,429.78,0.0046126,-1
19,0.21522,0.044109,0.12665,0.44766,0.0022159,0.050216,0.21146,0.0049807,587.86,0.025021,1
15,0.31829,0.094037,0.33473,0.11108,0.0054582,0.22712,0.35784,0.0054949,197.38,-0.026732,-1
23,0.20708,0.041497,0.13967,0.2773,0.0025862,0.056579,0.19716,0.0034331,1164,0.015137,1
13,0.30291,0.082236,0.31029,0.20084,0.00084365,0.22429,0.34247,0.016359,224.4,-0.036875,-1
34,0.49608,0.23749,0.88798,0.15899,0.021366,1.3166,0.94632,0.011933,347.81,0.062818,-1
13,0.31196,0.089522,0.32991,0.0517,0.0017693,0.37037,0.3348,0.00084116,57.183,0.012283,-1
58,0.45283,0.20191,0.75519,1.7494,0.41368,0.25894,0.99676,0.016728,1105.6,-0.008604,-1
95,0.56663,0.31261,1.3734,2.0798,0.061486,1.957,1.536,0.0086799,2351.7,0.021826,-1
36,0.43427,0.18418,0.68914,3.2152,0.36826,0.21526,0.82004,0.015142,496.57,-0.020672,-1
34,0.3183,0.096284,0.35847,1.3052,0.00069438,0.19113,0.43795,0.0040589,769.17,0.010492,-1
49,0.4684,0.21487,0.84798,0.16468,0.69556,0.25496,0.86278,0.0013421,482.25,0.0078311,-1
20,0.2184,0.045607,0.13445,0.47467,0.0021112,0.054043,0.22687,0.0043445,724.35,0.10183,1
15,0.32056,0.095441,0.3341,0.12596,0.0075789,0.19235,0.35622,0.0052611,170.77,-0.058375,-1
22,0.20261,0.03999,0.13313,0.24821,0.0026963,0.051993,0.1815,0.0038941,827.36,0.02595,1
14,0.30598,0.084159,0.33914,0.23748,0.0018867,0.22635,0.37185,0.018646,196.68,-0.0030153,-1
34,0.49631,0.2378,0.90373,0.16267,0.01038,1.8357,0.9519,0.010807,276.65,0.063065,-1
13,0.31262,0.089793,0.3303,0.059872,0.00040532,0.59229,0.33384,0.00062694,33.981,0.0094838,-1
58,0.45214,0.20123,0.75323,1.7193,0.40695,0.25951,0.98706,0.015296,953.32,-0.019459,-1
95,0.56631,0.3122,1.3672,2.1357,0.071054,1.8565,1.5495,0.0087898,2355.1,0.021449,-1
36,0.43422,0.184,0.68833,3.3291,0.40727,0.21237,0.83771,0.015265,480.32,-0.030786,-1
34,0.32103,0.098353,0.36199,1.7755,0.00074705,0.18116,0.47902,0.0057296,929.97,0.030583,-1
51,0.47751,0.22347,0.88521,0.45391,0.015366,1.6305,0.91073,0.0021829,581.77,0.012168,-1
20,0.21693,0.045798,0.13342,0.45,0.0022396,0.052817,0.21805,0.0039227,600.85,0.076463,1
15,0.32045,0.095374,0.33568,0.099548,0.010232,0.17623,0.35716,0.0055466,209.74,-0.0092933,-1
23,0.20794,0.041449,0.14521,0.30101,0.0021975,0.05967,0.21734,0.0075307,881.6,0.070709,1
17,0.31833,0.092218,0.35187,0.33083,0.0014084,0.24225,0.40906,0.017609,301.35,-0.10393,-1
34,0.49658,0.2382,0.88706,0.17916,0.011883,1.6749,0.93516,0.010227,389.59,0.055846,-1
13,0.31283,0.090143,0.32987,0.076095,0.018262,0.12501,0.33558,0.0011164,56.487,0.0034843,-1
58,0.4524,0.20161,0.75655,1.6854,0.37342,0.26863,0.99539,0.016397,1163.4,-0.0032632,-1
95,0.56709,0.31314,1.3568,2.1368,0.065954,1.8883,1.5461,0.0085998,2258.6,0.020909,-1
36,0.43464,0.18486,0.69142,3.4899,0.40548,0.21298,0.82493,0.013981,471.95,-0.0093887,-1
33,0.31177,0.092808,0.34436,1.6531,0.0011044,0.18231,0.43018,0.0045716,878.26,0.037344,-1
49,0.46843,0.21488,0.84479,0.15404,0.0050941,2.5874,0.85843,0.0011557,450.4,0.0010472,-1
20,0.21486,0.045384,0.13394,0.43898,0.0016883,0.05361,0.20706,0.0038384,807.71,0.092449,1
11,0.28489,0.073234,0.26212,0.051822,0.00050161,0.3491,0.27149,0.0061824,108.46,0.072578,-1
24,0.20889,0.042401,0.14418,0.28128,0.0023778,0.059631,0.20097,0.0041267,1383,0.04418,1
16,0.31881,0.092508,0.3756,0.27286,0.0021007,0.27009,0.42342,0.017798,279.89,-0.093135,-1
34,0.49542,0.23695,0.90936,0.16298,0.014107,1.5804,0.96913,0.013696,444.5,0.06783,-1
13,0.31152,0.089356,0.32972,0.039588,0.00078887,0.54294,0.33207,0.00050198,49.154,-0.0056246,-1
58,0.45239,0.20149,0.75575,1.6949,0.40762,0.26013,0.9812,0.01608,1043.8,-0.0060283,-1
95,0.56687,0.31288,1.3657,2.0939,0.068287,1.8948,1.5474,0.0085914,2554.8,0.021201,-1
36,0.43453,0.18491,0.69356,3.3388,0.35802,0.2174,0.81366,0.013785,456.16,-0.01709,-1
33,0.31215,0.092744,0.34688,1.7802,0.00099101,0.1815,0.45088,0.0053341,710.14,0.066625,-1
3,0.11808,0.0092856,0.027857,5.698e-005,0,2.27,0.027857,1.9e-007,0.44053,-0.0030679,-1
50,0.47305,0.21931,0.86333,0.40901,0.013939,1.6237,0.88841,0.0017861,475.15,-0.011848,-1
20,0.21811,0.046455,0.13523,0.50458,0.0025461,0.053134,0.22358,0.0053964,756.66,0.078415,1
9,0.25314,0.056177,0.20022,0.052869,0.00011102,0.26237,0.20851,0.0046952,105.21,0.071266,-1
24,0.21722,0.044597,0.16336,0.46059,0.0023624,0.070277,0.28324,0.016225,1108.9,0.07906,1
17,0.31277,0.088672,0.35374,0.39348,0.0014068,0.21475,0.40538,0.01781,320.32,-0.014574,-1
33,0.48378,0.22636,0.86715,0.17108,0.014168,1.434,0.93289,0.011744,351.8,0.073014,-1
11,0.28876,0.075391,0.27514,0.044639,7.061e-005,0.653,0.27833,0.0010924,59.331,0.019468,-1
58,0.45195,0.20097,0.75432,1.6553,0.39199,0.26379,0.98275,0.015826,936.42,-0.0060283,-1
95,0.56711,0.31323,1.3656,2.1081,0.073642,1.8502,1.5401,0.0081258,2371.8,0.020714,-1
36,0.43459,0.18437,0.68893,3.8801,0.35841,0.21732,0.85332,0.016787,531.57,-0.017493,-1
35,0.32159,0.099736,0.36899,1.88,0.00059613,0.19618,0.47316,0.0055165,1072.1,0.030057,-1
49,0.46853,0.21498,0.84831,0.18793,0.78739,0.2493,0.85942,0.0011672,426.78,0.0070839,-1
18,0.20581,0.03999,0.11881,0.37805,0.001089,0.049075,0.18958,0.0041469,472.54,0.097692,1
23,0.19507,0.035485,0.12606,0.38453,0.0010478,0.055803,0.18522,0.0077618,1090.3,0.049108,1
18,0.31997,0.094583,0.38,0.35979,0.0026349,0.26181,0.42316,0.013735,283.93,-0.070282,-1
34,0.49696,0.23758,0.89922,0.17787,0.012706,1.6374,0.95426,0.012628,399.9,0.065761,-1
7,0.23564,0.047505,0.16595,0.019756,5.296e-005,0.31245,0.1684,0.0010043,35.264,-0.073947,-1
6,0.21206,0.036488,0.11517,0.079049,1.034e-005,0.064738,0.14143,0.0099477,63.651,0.33787,-1
58,0.45248,0.20169,0.7536,1.7101,0.3983,0.26226,0.99521,0.016902,995.39,-0.011802,-1
95,0.56706,0.313,1.3664,2.115,0.0692,1.879,1.5335,0.0082827,2200.9,0.021489,-1
36,0.43446,0.18404,0.69229,4.1717,0.37241,0.21595,0.81875,0.014533,474.71,-0.020649,-1
35,0.32499,0.10092,0.37429,2.4477,0.0011083,0.18715,0.50929,0.0070504,1012.7,0.056274,-1
49,0.46866,0.21509,0.84747,0.19656,0.086334,0.64698,0.86035,0.001369,458.84,0.00073238,-1
15,0.19338,0.033907,0.11644,0.15961,0.00053442,0.054591,0.14325,0.0034864,336.65,0.068886,1
23,0.18395,0.032148,0.13707,0.3251,0.0009315,0.064562,0.21031,0.016934,1148.2,0.079357,1
11,0.25881,0.062112,0.1754,0.33646,0.001495,0.072392,0.27711,0.018562,202.44,-0.0055223,-1
17,0.31477,0.090552,0.35794,0.38063,0.0017727,0.21645,0.41316,0.018755,371.19,-0.038906,-1
34,0.49701,0.23863,0.89626,0.14727,0.022711,1.2681,0.94872,0.0099199,297.57,0.06454,-1
13,0.31247,0.089809,0.33021,0.056611,0.0019408,0.35436,0.3338,0.0010205,46.075,-0.011728,-1
7,0.20791,0.037112,0.12886,0.010889,1.809e-005,0.32868,0.12966,0.00033329,22.965,0.048078,-1
58,0.45244,0.20182,0.75514,1.7041,0.39118,0.26342,0.9795,0.016088,995.99,-0.0073234,-1
95,0.56748,0.3136,1.3625,2.0895,0.069551,1.8866,1.5287,0.0080741,2470.3,0.020311,-1
36,0.4348,0.18449,0.68996,3.5006,0.34148,0.21885,0.84648,0.018,380.27,-0.02066,-1
34,0.31591,0.095196,0.35674,1.9721,0.00094745,0.19159,0.46433,0.0059514,1092,0.054981,-1
49,0.46854,0.21502,0.84863,0.21003,0.014373,1.5737,0.87048,0.0021296,423.69,0.010989,-1
25,0.18024,0.031166,0.11836,0.13775,0.0029173,0.050749,0.14855,0.0020856,1591.8,0.075167,1
10,0.25386,0.057986,0.20286,0.051865,0.00044844,0.20635,0.21401,0.0036312,106.57,-0.073852,-1
13,0.27674,0.070369,0.26128,0.24843,0.022452,0.081209,0.39824,0.030001,222.77,0.053177,-1
20,0.32849,0.099875,0.38397,0.52097,0.00085096,0.24183,0.45964,0.014302,385.15,-0.10602,-1
34,0.4965,0.2386,0.88696,0.16353,0.027373,1.1494,0.94083,0.011794,406.95,0.05368,-1
7,0.22472,0.042035,0.14569,0.077712,6.3e-005,0.094675,0.16422,0.0090422,48.703,0.20549,-1
4,0.19033,0.027171,0.08144,0.0043303,9.2e-007,0.29254,0.081661,0.00016266,5.8175,-0.052914,-1
6,0.19881,0.032909,0.10904,0.019158,7.05e-006,0.15609,0.11107,0.0011447,18.928,0.08227,-1
58,0.45213,0.20107,0.75221,1.6918,0.3959,0.26238,0.98566,0.016203,1078.8,-0.015418,-1
95,0.56694,0.31302,1.3631,2.0931,0.069367,1.8785,1.5303,0.008254,2277.3,0.021597,-1
36,0.43521,0.18481,0.69144,4.2218,0.34928,0.21828,0.85254,0.016922,515.6,-0.020656,-1
32,0.30685,0.089827,0.33373,1.3047,0.00069415,0.17894,0.4303,0.0046085,991.55,0.059777,-1
49,0.46854,0.21501,0.84883,0.1589,0.032329,1.063,0.85895,0.00118,404.58,0.0097342,-1
28,0.19027,0.035044,0.1331,0.1848,0.0013532,0.07067,0.17965,0.0042772,1895.8,0.091491,1
13,0.30229,0.083914,0.31263,0.051547,0.00078403,0.44805,0.32162,0.0043719,126.18,-0.016114,-1
17,0.31213,0.090595,0.32986,0.42779,0.02732,0.11248,0.48098,0.024047,316.26,-0.045701,-1
18,0.31783,0.09464,0.36229,0.36564,0.0013625,0.25518,0.40985,0.012062,317.26,-0.062854,-1
34,0.49714,0.23867,0.90528,0.14898,0.049988,0.86521,0.95139,0.011533,358.76,0.063122,-1
14,0.32235,0.096511,0.35775,0.038845,0.00096253,0.61271,0.36158,0.00088522,48.857,-0.042214,-1
12,0.33824,0.10298,0.26504,0.37169,0.0038289,0.11227,0.40385,0.038242,140.28,0.06815,-1
6,0.15492,0.019413,0.069289,0.011299,7.184e-005,0.057201,0.07352,0.0058909,177.41,0.011106,-1
58,0.452,0.20123,0.75356,1.6684,0.38598,0.26522,0.97567,0.015899,942.56,-0.0058507,-1
95,0.56713,0.31314,1.3744,2.1386,0.067392,1.907,1.5223,0.0076466,2183.9,0.02045,-1
36,0.43532,0.18521,0.68956,4.0511,0.3816,0.21506,0.85095,0.016718,525.02,-0.022796,-1
33,0.3116,0.094526,0.34516,1.6894,0.00072735,0.18518,0.43511,0.0043341,917.56,0.053893,-1
49,0.46863,0.21508,0.84859,0.14449,0.0096312,1.9346,0.85822,0.00089174,480.43,0.0017528,-1
28,0.1903,0.035507,0.12822,0.20859,0.0012943,0.064235,0.16842,0.0033792,1593.2,0.069314,1
13,0.30439,0.084907,0.31357,0.07284,0.00077649,0.41371,0.32249,0.0047667,114.21,0.010913,-1
12,0.26392,0.065491,0.19433,0.29673,0.0020115,0.081235,0.28558,0.013927,310.39,0.087622,-1
16,0.3114,0.088003,0.3493,0.31148,0.00080187,0.23617,0.38474,0.015336,229.51,-0.032587,-1
34,0.49577,0.2373,0.89418,0.15911,0.024454,1.2144,0.95364,0.010801,327.02,0.06723,-1
15,0.33255,0.10306,0.38507,0.058194,0.00092033,0.70526,0.38876,0.00056653,71.738,-0.021177,-1
7,0.21187,0.037803,0.13118,0.039304,1.969e-005,0.12929,0.13784,0.0023671,44.159,0.15155,-1
7,0.17893,0.026866,0.088236,0.011061,0.0010118,0.031794,0.091942,0.0074756,155.77,0.020259,-1
58,0.45255,0.20157,0.75687,1.697,0.40295,0.26112,0.98716,0.016071,976.63,-0.0060283,-1
95,0.56677,0.31312,1.3596,2.0415,0.06253,1.9472,1.5325,0.0083068,2486.1,0.02131,-1
36,0.43492,0.18472,0.68689,3.7047,0.39557,0.21314,0.85512,0.016939,552.29,-0.024758,-1
35,0.32462,0.10192,0.37966,1.648,0.0013326,0.19159,0.51162,0.0092905,941.75,0.047533,-1
49,0.46867,0.21512,0.84912,0.17891,0.75521,0.25106,0.86073,0.0012199,443.41,0.0091888,-1
28,0.18961,0.035008,0.12567,0.20389,0.0019617,0.05639,0.17011,0.0030511,1419.9,0.057582,1
13,0.30348,0.084568,0.30142,0.068903,0.0010508,0.35177,0.31078,0.0046051,132.73,0.014402,-1
12,0.26541,0.064011,0.19417,0.29338,0.0017918,0.083301,0.29375,0.016428,200.34,0.14669,-1
17,0.3151,0.090776,0.36441,0.32269,0.0015679,0.24781,0.40887,0.016355,252.93,-0.014725,-1
34,0.49554,0.23743,0.88102,0.16777,0.099245,0.6035,0.93144,0.010195,307.57,0.063883,-1
13,0.31197,0.089698,0.33036,0.046111,0.0072037,0.19432,0.3341,0.00094725,59.186,-0.0056246,-1
5,0.20137,0.030803,0.10385,0.049491,6.828e-005,0.061029,0.12063,0.016816,56.235,0.28811,-1
8,0.17601,0.02721,0.090711,0.038332,8.674e-005,0.067197,0.10014,0.0066163,132.45,0.1894,-1
58,0.45255,0.20153,0.75326,1.7304,0.41025,0.25979,0.99288,0.016681,1044.6,-0.01225,-1
95,0.56656,0.31263,1.3622,2.1037,0.064418,1.9207,1.5311,0.0080954,2514.1,0.02084,-1
36,0.43443,0.1852,0.6867,3.3185,0.34727,0.21757,0.82602,0.014217,469.59,-0.02723,-1
34,0.31864,0.097367,0.35838,1.8284,0.001377,0.18253,0.45477,0.0053539,884.48,0.039077,-1
52,0.4822,0.22804,0.89784,2.0832,0.0075422,2.239,0.94206,0.0030003,552.5,0.019092,-1
11,0.13153,0.015841,0.057524,0.0082466,0.00019796,0.033354,0.058106,0.00010533,206.98,-0.022736,1
27,0.18817,0.034349,0.11785,0.22186,0.0018148,0.050569,0.15993,0.002707,2255.6,0.052346,1
13,0.30077,0.083456,0.30682,0.062791,0.00049228,0.47701,0.31547,0.0043392,116.15,0.0068294,-1
12,0.25715,0.060896,0.19266,0.23498,0.0020479,0.082237,0.25941,0.013647,260.9,0.069985,-1
18,0.31648,0.092592,0.36206,0.34998,0.00094907,0.26373,0.40619,0.014068,342.24,-0.040693,-1
34,0.49764,0.23863,0.88682,0.18888,0.021121,1.3041,0.94923,0.012023,437.5,0.054393,-1
13,0.31163,0.089382,0.33029,0.044186,0.00046051,0.66558,0.33328,0.00085298,54.16,-0.0056246,-1
9,0.1787,0.027994,0.094592,0.046114,8.596e-005,0.06796,0.10429,0.0047696,140.35,0.16878,-1
58,0.45241,0.20145,0.75514,1.7575,0.39328,0.26311,0.98287,0.016416,978.99,-0.0073234,-1
